date,dexalus,dexcaus,dexjpus,dexnzus,dexukus
1971-01-04,0.8987148377819718,1.0109,357.73,0.8978272580355541,0.4177458434288578
1971-01-05,0.8983111749910169,1.0102,357.81,0.8974243919949744,0.417553968850474
1971-01-06,0.8976660682226211,1.0106,357.86,0.896780557797507,0.417240372178412
1971-01-07,0.8978272580355541,1.0148,357.87,0.8968609865470852,0.4173100196135709
1971-01-08,0.8989572096368212,1.0154,357.82,0.8965393580778197,0.4171533455698314
1971-01-11,0.896700143472023,1.0159,357.95,0.8958165367732688,0.4168056018672891
1971-01-12,0.8963786303334529,1.013,358.06,0.8954956568460642,0.416649306278905
1971-01-13,0.8956560680698611,1.0122,358.44,0.8946944618412813,0.4163024020648599
1971-01-14,0.893734918223255,1.0133,358.4,0.8928571428571428,0.4154376635785801
1971-01-15,0.8942944017170452,1.0135,358.4,0.893415527561869,0.415679428025107
1971-01-18,0.894534394847482,1.0126,358.29,0.8935751943526048,0.4157658406785299
1971-01-19,0.893415527561869,1.0111,358.35,0.8924587237840249,0.4152651467962294
1971-01-20,0.893415527561869,1.0115,358.4,0.8925383791503034,0.4152823920265781
1971-01-21,0.8930166101089481,1.0109,358.27,0.8920606601248885,0.4150755437489623
1971-01-22,0.8925383791503034,1.0117,357.9,0.8916629514043692,0.4148861137617724
1971-01-25,0.8909479686386315,1.0111,357.73,0.8899964400142399,0.4141301196836046
1971-01-26,0.8904719501335708,1.0107,357.78,0.8896005693443643,0.4139072847682119
1971-01-27,0.8904719501335708,1.0101,357.79,0.8895214374666429,0.4138901535532469
1971-01-28,0.8901548869503294,1.009,357.83,0.8892050506846878,0.4137531548678058
1971-01-29,0.8899964400142399,1.008,357.72,0.8890469416785206,0.4136675767353354
1971-02-01,0.8896005693443643,1.0076,357.67,0.888651915044877,0.4134965266291763
1971-02-02,0.889679715302491,1.0087,357.55,0.8888098835659053,0.4135478268061701
1971-02-03,0.8896005693443643,1.0085,357.54,0.888651915044877,0.4134965266291763
1971-02-04,0.8902341315766047,1.0078,357.51,0.8892841262783459,0.4137873960359167
1971-02-05,0.8909479686386315,1.0078,357.53,0.8900756564307967,0.4141301196836046
1971-02-08,0.889679715302491,1.0083,357.49,0.8887308922858159,0.4135307253328922
1971-02-09,0.8907892392659896,1.0083,357.5,0.8899172376968942,0.4140615295432902
1971-02-10,0.890551251224508,1.0086,357.5,0.8896005693443643,0.4139244174013825
1971-02-11,0.890551251224508,1.0086,357.5,0.889679715302491,0.4139415514529349
1971-02-12,,,,,
1971-02-15,,,,,
1971-02-16,0.8892841262783459,1.0084,357.53,0.888336146397797,0.4133427024345885
1971-02-17,0.8892841262783459,1.0087,357.53,0.888336146397797,0.4133427024345885
1971-02-18,0.8893632159373888,1.0076,357.53,0.8884150675195451,0.4133768756975735
1971-02-19,0.8893632159373888,1.0066,357.56,0.8884940026654821,0.413393964448119
1971-02-22,0.8892841262783459,1.0043,357.6,0.8884150675195451,0.4133597883597884
1971-02-23,0.8892841262783459,1.0035,357.55,0.888336146397797,0.4133427024345885
1971-02-24,0.8892841262783459,1.0075,357.6,0.888336146397797,0.4133427024345885
1971-02-25,0.8898380494749957,1.0066,357.56,0.8889679082585119,0.4136162468461761
1971-02-26,0.8904719501335708,1.007,357.56,0.8896005693443643,0.4139072847682119
1971-03-01,0.8903926631644555,1.0076,357.63,0.8895214374666429,0.4138730237563116
1971-03-02,0.8896005693443643,1.0071,357.56,0.888651915044877,0.4134965266291763
1971-03-03,0.8892841262783459,1.0073,357.49,0.888336146397797,0.4133427024345885
1971-03-04,0.8897588753447816,1.0064,357.45,0.8888888888888888,0.4135820339964432
1971-03-05,0.8896005693443643,1.0047,357.59,0.8887308922858159,0.4135136252739528
1971-03-08,0.8892841262783459,1.003,357.55,0.8884150675195451,0.4133597883597884
1971-03-09,0.8893632159373888,1.004,357.46,0.8884150675195451,0.4134281461881925
1971-03-10,0.8892841262783459,1.0036,357.59,0.8884150675195451,0.4133597883597884
1971-03-11,0.8894423196655696,1.0049,357.56,0.888572951839346,0.4134281461881925
1971-03-12,0.8892841262783459,1.0056,357.58,0.888336146397797,0.4133427024345885
1971-03-15,0.8892841262783459,1.0059,357.54,0.888336146397797,0.4133427024345885
1971-03-16,0.8896005693443643,1.0052,357.49,0.8887308922858159,0.4135136252739528
1971-03-17,0.8892050506846878,1.0056,357.53,0.888336146397797,0.4133256179217988
1971-03-18,0.8893632159373888,1.0065,357.56,0.8884940026654821,0.413393964448119
1971-03-19,0.8893632159373888,1.0077,357.56,0.8884940026654821,0.413393964448119
1971-03-22,0.8892841262783459,1.0079,357.44,0.888336146397797,0.4133427024345885
1971-03-23,0.8892841262783459,1.0078,357.53,0.888336146397797,0.4133427024345885
1971-03-24,0.8892050506846878,1.0076,357.53,0.888336146397797,0.4133256179217988
1971-03-25,0.8896005693443643,1.007,357.47,0.888651915044877,0.4134794293983874
1971-03-26,0.8894423196655696,1.0074,357.47,0.888572951839346,0.4134281461881925
1971-03-29,0.8892050506846878,1.0075,357.44,0.888336146397797,0.4133256179217988
1971-03-30,0.889679715302491,1.0082,357.49,0.8888098835659053,0.4135478268061701
1971-03-31,0.8901548869503294,1.0081,357.42,0.8892841262783459,0.4137702747434625
1971-04-01,0.8909479686386315,1.0076,357.49,0.8900756564307967,0.4141301196836046
1971-04-02,0.8918219923303309,1.0073,357.53,0.8908685968819599,0.4145077720207254
1971-04-05,0.8904719501335708,1.0071,357.5,0.8895214374666429,0.4138901535532469
