Devise,Intercept,β_DXY,β_HYS,p-value_DXY,p-value_HYS,R² Ajusté,AIC,BIC
AUD,-0.001003050754919211,1.6386123251268867,0.005545795911978702,2.2220714620231892e-50,0.002823058041186318,0.7382429829048653,-1163.3325828619122,-1153.057732809468
CAD,-0.00014731212635754718,1.0120528391849417,0.006809842531149185,7.255386319607317e-36,6.465143925361924e-06,0.6662548951070871,-1263.1907629633156,-1252.9159129108714
JPY,0.00025602331353266546,0.8767757096254639,-0.015515585692962727,7.612543072741512e-14,7.270605936252619e-10,0.23179746506781407,-1039.9576126201946,-1029.6827625677504
NZD,-0.0010994431382730608,1.717606972993215,0.0017368154110636326,1.4779871521940934e-39,0.4561191051921023,0.6301482464787815,-1055.9662111407802,-1045.691361088336
GBP,0.00045237262271143156,0.9542096869988452,0.003606763047261941,8.231957991877313e-25,0.04596776587494995,0.5035197421577426,-1173.1449541527263,-1162.870104100282
